LandisData "Dynamic Input Data"

>> Warning - This is a bias-corrected file

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.4

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.5			2.7957

>>	year	landtype	species	probEst	maxANPP	maxB

0	418_5	POPU.TRE	0.786	766	4592
0	418_5	QUER.RUB	0.498	535	7509
0	418_5	THUJ.SPP.ALL	0.498	299	3410
0	418_5	TSUG.CAN	0.401	244	3272
0	419_1	ABIE.BAL	0.737	523	3511
0	419_1	ACER.RUB	0.737	349	3247
0	419_1	ACER.SAH	0.692	519	4459
0	419_1	BETU.ALL	0.692	422	3343
0	419_1	BETU.PAP	0.838	313	1983
0	419_1	FAGU.GRA	0.692	444	5504
0	419_1	LARI.LAR	0.838	208	1826
0	419_1	PICE.GLA	0.692	476	5862
0	419_1	PICE.MAR	0.581	562	5118
0	419_1	PICE.RUB	0.581	1333	7633
0	419_1	PINU.BAN	0.838	634	5460
0	419_1	PINU.RES	0.737	607	5676
0	419_1	PINU.STR	0.692	479	4519
0	419_1	POPU.TRE	0.893	540	4173
0	419_1	QUER.RUB	0.651	728	7028
0	419_1	THUJ.SPP.ALL	0.614	460	4118
0	419_1	TSUG.CAN	0.523	304	3776
0	419_2	ABIE.BAL	0.737	559	4043
0	419_2	ACER.RUB	0.786	450	3532
0	419_2	ACER.SAH	0.692	602	4923
0	419_2	BETU.ALL	0.692	515	3570
0	419_2	BETU.PAP	0.838	381	2206
0	419_2	FAGU.GRA	0.692	543	5688
0	419_2	LARI.LAR	0.838	268	2043
0	419_2	PICE.GLA	0.692	670	6516
0	419_2	PICE.MAR	0.614	551	5977
0	419_2	PICE.RUB	0.614	1478	7971
0	419_2	PINU.BAN	0.838	762	5652
0	419_2	PINU.RES	0.737	686	6179
0	419_2	PINU.STR	0.737	560	4738
0	419_2	POPU.TRE	0.893	698	4543
0	419_2	QUER.RUB	0.651	882	8966
0	419_2	THUJ.SPP.ALL	0.614	558	4310
0	419_2	TSUG.CAN	0.523	396	4238
0	419_3	ABIE.BAL	0.737	671	4238
0	419_3	ACER.RUB	0.786	488	3703
0	419_3	ACER.SAH	0.692	684	5317
0	419_3	BETU.ALL	0.692	553	3669
0	419_3	BETU.PAP	0.838	423	2258
0	419_3	FAGU.GRA	0.692	600	5925
0	419_3	LARI.LAR	0.838	290	2184
